header,class,mechanism,group
Bla|OXA-23|EF120522|1499-2320|822|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OKP-B-7|AM051156|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Bla|OXY2-5|AY077487.2|180-1049|870|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|SHV2A-kp|X62115|1281-2141|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|NC_023287|60996-61860|ARO:3002626|ANT6-Ia|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT6
Flq|QnrB31|HQ418999|1-645|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
903|AJ972619.1|AJ972619|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
gi|695198991|ref|NG_035137.1|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
CARD|phgb|AY234334|0-846|ARO:3000600|Erm34|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
gi|157779404|gb|EU019535.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-68|EU177100|5-880|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|CMY-10|AF373217|1-1149|1149|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
CARD|phgb|EF210159|0-876|ARO:3001919|CTX-M-58|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|77021907|gb|DQ193536.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|NC_007779|2586250-2589364|ARO:3000491|acrD|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRD,Aminoglycosides,Aminoglycoside efflux pumps,ACRD
AGly|Aac6-Iy|AF144880|3452-3979|438|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
CARD|pvgb|AL123456|4246513-4249810|ARO:3003326|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBB
1333|KP264124.1|KP264124|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tet|tetL_8_X60828|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETL,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETL
gi|256862195|gb|GQ390805.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
940|AF028812.1|AF028812|Trimethoprim|Dihydrofolate_reductase|DFRF,Trimethoprim,Dihydrofolate reductase,DFRF
1211|U50278.1|ECU50278|betalactams|Class_A_betalactamases|IMI,betalactams,Class A betalactamases,IMI
ENA|kexD|ABR77492|ABR77492.1Klebsiellapneumoniaesubsp.pneumoniaeMGH78578acridineeffluxpump,Drug and biocide resistance,drug and biocide RND efflux pump,kexD
Amp|HM140977.1|gene1|Lipopeptides|Phosphotidylglycerol_lysyltransferase|MPRF|RequiresSNPConfirmation,Lipopeptides,Phosphotidylglycerol lysyltransferase,MPRF
MLS|ermO_2_AJ223970|MLS|23S_rRNA_methyltransferases|ERMO,MLS,23S rRNA methyltransferases,ERMO
254|AF090987.1|AF090987|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETA
CARD|phgb|NC_010400|1365938-1369118|ARO:3000778|adeG|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEG,Multi-drug resistance,Multi-drug efflux pumps,ADEG
Bla|PER-4|EU748544|1-927|927|betalactams|Class_A_betalactamases|PER,betalactams,Class A betalactamases,PER
MLS|ErmO|M74717|40-822|783|MLS|23S_rRNA_methyltransferases|ERMO,MLS,23S rRNA methyltransferases,ERMO
gi|329745040|gb|HQ425494.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|56554770|gb|AY847147.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
11|DQ679966.1|DQ679966|Multi-drug_resistance|Multi-drug_efflux_pumps|ACRB,Multi-drug resistance,Multi-drug efflux pumps,ACRB
gi|697286401|dbj|AB901141.1|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Flq|QnrB43|JQ349151|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
gi|482869242|gb|KC818234.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1436|AY489045.1|AY489045|Glycopeptides|VanD-type_regulator|VANSD,Glycopeptides,VanD-type regulator,VANSD
CARD|pvgb|BX248333|4182808-4186105|ARO:3003325|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Ethambutol resistant arabinosyltransferase,EMBB
67|AF047479.2|AF047479|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|SHV-162|JX121129|1-858|858|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
ENA|gesA|AAL19306|AAL19306.1Salmonellaentericasubsp.entericaserovarTyphimuriumstr.LT2putativecationeffluxpump,Drug metal and biocide resistance,drug metal and biocide RND efflux pump,gesA
gi|591389165|gb|KJ135343.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
63|DQ516954.1|DQ516954|Multi-drug_resistance|Multi-drug_efflux_pumps|MSBA,Multi-drug resistance,Multi-drug efflux pumps,MSBA
Flq|QnrA7|GQ463707|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA
Bla|M63556.1|gene1|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
Bla|TEM-114|AY589495|182-1042|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|757399523|gb|KP050494.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|NC_002952.2859949|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|HERA-2|AF398334|1-873|873|betalactams|Class_A_betalactamases|HERA,betalactams,Class A betalactamases,HERA
AGly|Aac3-IIc|X54723|819-1679|861|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
Bla|OXA-51_11_EU255288|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
ENA|adeK|KGF57686|KGF57686.1Acinetobacterbaumanniiadeninedeaminase,Drug and biocide resistance,drug and biocide RND efflux pump,adeK
gi|469665658|gb|KC603538.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
43|L20800.1|CLOTETP|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETB
Sul|AL009126.3|gene92|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Flq|CP002695.1|gene952|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|VIM-28|JF900599|1-801|801|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
CARD|phgb|AP012279|2172316-2173201|ARO:3000856|BJP-1|betalactams|Class_B_betalactamases|BJP1,betalactams,Class B betalactamases,BJP1
gi|218091989|emb|AM922308.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|TEM-169|FJ873740|1-858|858|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|KF152885|29328-29820|ARO:3002639|APH3-DPRIME-Ib|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
Bla|CTX-M-88_1_FJ873739|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|KM555152|0-657|ARO:3003193|QnrVC7|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,Fluoroquinolones,Quinolone resistance protein Qnr,QNRVC
Bla|B-7|AF189304|1-747|747|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
Gly|VanB|AY655710|1-1029|1029|Glycopeptides|VanB-type_resistance_protein|VANB,Glycopeptides,VanB-type resistance protein,VANB
1591|HE616889.1|HE616889|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
604|AJ400619.1|AJ400619|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|301071045|gb|HM544040.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|SHV-2_1_GQ407116|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|210061212|gb|FJ237366.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
1638|AB985401.1|AB985401|betalactams|Class_A_betalactamases|PER,betalactams,Class A betalactamases,PER
Sul|CP000647.1|gene3624|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
CARD|pvgb|AL123456|2288680-2289241|ARO:3003394|Mycobacterium|Mycobacterium_tuberculosis-specific_Drug|Pyrazinamide-resistant_pncA|PNCA|RequiresSNPConfirmation,Mycobacterium tuberculosis-specific Drug,Pyrazinamide-resistant pncA,PNCA
Gly|VanS-B_1_AF192329|Glycopeptides|VanB-type_regulator|VANSB,Glycopeptides,VanB-type regulator,VANSB
CARD|phgb|AJ511268|1294-1765|ARO:3002531|AAC3-Ic|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
ENA|merG|BAA23166|BAA23166.2Pseudomonassp.K-62mercuricresistanceprotein:Location:1..654,Mercury resistance,mercuric resistance protein,merG
gi|160948452|emb|AM176554.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|544207395|gb|KF203098.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|pvgb|NC_020418|545199-547614|ARO:3003306|Morganella|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRB|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRB
ENA|qacB|BAG12275|BAG12275.1StaphylococcusaureusantisepticeffluxproteinQacB,Drug and biocide resistance,drug and biocide MFS efflux pump,qacB
Bla|VEB-2|AY027870|47-946|900|betalactams|Class_A_betalactamases|VEB,betalactams,Class A betalactamases,VEB
Gly|VanW-B_1_AF192329|Glycopeptides|VanB-type_accessory_protein|VANWB,Glycopeptides,VanB-type accessory protein,VANWB
Met|nimI_1_FJ940889|Metronidazole|nim_nitroimidazole_reductase|NIMI,Metronidazole,nim nitroimidazole reductase,NIMI
gi|591389155|gb|KF986260.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|AE000516.2|gene2130|MLS|23S_rRNA_methyltransferases|ERM37,MLS,23S rRNA methyltransferases,ERM37
gi|121495528|emb|AM411407.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1017|JQ343850.1|JQ343850|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
MLS|ermD_2_L08389|MLS|23S_rRNA_methyltransferases|ERMD,MLS,23S rRNA methyltransferases,ERMD
Bla|OXA-371_1_AB871653|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
MLS|ermC_10_Y09002|MLS|23S_rRNA_methyltransferases|ERMC,MLS,23S rRNA methyltransferases,ERMC
Bla|SHV-84|AM087453|26-856|831|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|72199369|gb|DQ139328.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
928|X15852.1|X15852|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
Tmt|DfrD|Z50141|94-582|489|Trimethoprim|Dihydrofolate_reductase|DFRD,Trimethoprim,Dihydrofolate reductase,DFRD
Bla|OXY2-7|Z49084|312-1184|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|SHV-35|AY070258|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Sul|sul1_20_JF262165|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|SHV-28_1_HM751101|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CMY-77|JX440353|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
ENA|copB|ADR70748|ADR70748.1Xanthomonascitrisubsp.citriCopB,Copper resistance,copper resistance protein,copB
Bla|CTX-M-81|EU136031|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
CARD|phgb|KF147862|0-654|ARO:3000559|adeN|Multi-drug_resistance|MDR_regulator|ADEN,Multi-drug resistance,MDR regulator,ADEN
Bla|CMY-70|JX440350|1027-2172|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Tet|tet39_2_EU495991|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TET39,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TET39
gi|698174185|gb|KM087847.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
1241|AY044436.1|AY044436|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|QnrA5|DQ058663|1-657|657|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRA,Fluoroquinolones,Quinolone resistance protein Qnr,QNRA
523|AM709783.1|AM709783|Multi-drug_resistance|Multi-drug_efflux_pumps|DRRA,Multi-drug resistance,Multi-drug efflux pumps,DRRA
CARD|phgb|M19530|415-1186|ARO:3002878|BcII|betalactams|Class_B_betalactamases|BCII,betalactams,Class B betalactamases,BCII
Rif|AP009048.1|gene3341|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|SHV-30|AY661885|49-909|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|AY077487.2|gene1|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Bla|CMY-7|AJ011291|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXA-320|KF151169|1-831|831|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|388564847|gb|JQ733576.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|B-13|EF595959|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
1002|AF140221.1|AF140221|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Phe|CatB4|EU935739|59054-59602|549|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB
Flq|CR628337.1|gene1424|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Flq|QnrB48|JQ762640|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
CARD|phgb|JX017364|238-1114|ARO:3001988|CTX-M-129|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|360040231|gb|JN861779.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|AF336096.1|gene1|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,betalactams,Mutant porin proteins,OMP36
gi|401716858|gb|JX311308.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|536624018|gb|KF515536.1|betalactams|Class_C_betalactamases|ACT,betalactams,Class C betalactamases,ACT
Bla|TEM-155|DQ679961|115-975|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|396586112|gb|JX013656.1|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|OXA-67|DQ491200|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|M80674|877-2494|ARO:3003554|tcmA|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TCMA,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TCMA
ENA|dsbA|AAC43534|AAC43534.1Escherichiacolithiol:disulfideinterchangeproteinDsbAmutantPH31/32PR:Location:1..627,Metal resistance,metal efflux regulator,dsbA
gi|114386381|gb|DQ834728.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|557477792|gb|KF460533.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tmt|DfrA31|AB200915|1832-2305|474|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
ENA|dpr/dps|AAG33871|AAG33871.1StreptococcussuisDpr:Location:1..519,Metal and biocide resistance,metal and biocide resistance protein,dpr
CARD|phgb|NC_002156|1429-2290|ARO:3000979|TEM-116|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
155|U57969.1|PAU57969|Multi-drug_resistance|MDR_mutant_porin_proteins|OPRJ,Multi-drug resistance,MDR mutant porin proteins,OPRJ
CARD|phgb|NC_011595|1249018-1249348|ARO:3000768|abeS|Multi-drug_resistance|Multi-drug_efflux_pumps|ABES,Multi-drug resistance,Multi-drug efflux pumps,ABES
CARD|phgb|L20573|2064-2676|ARO:3003250|bcrC|Bacitracin|Bacitracin_ABC_transporter|BCRC,Bacitracin,Bacitracin ABC transporter,BCRC
CARD|pvgb|U00096|1619119-1619554|ARO:3003378|Escherichia|Multi-drug_resistance|MDR_regulator|MARR|RequiresSNPConfirmation,Multi-drug resistance,MDR regulator,MARR
Bla|IND-2|EF394439|1-732|732|betalactams|Class_B_betalactamases|IND,betalactams,Class B betalactamases,IND
gi|698174195|gb|KM087852.1|betalactams|Class_C_betalactamases|DHA,betalactams,Class C betalactamases,DHA
Phe|Cmr|U85507|3518-4693|1172|Phenicol|Phenicol_efflux_pumps|CMXAB,Phenicol,Phenicol efflux pumps,CMXAB
ENA|cmeD|CAL35149|CAL35149.1Campylobacterjejunisubsp.jejuniNCTC11168=ATCC700819outermembranecomponentofeffluxsystem(multidrugeffluxsystemCmeDEF),Drug metal and biocide resistance,drug metal and biocide RND efflux pump,cmeD
Tmt|dfrA14_1_Z50805|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DHFR
ENA|rpoS|AAA03294|AAA03294.1ShigellaflexneriRNApolymerasesigmafactor,Biocide resistance,biocide resistance regulator,rpoS
1306|AM412777.1|AM412777|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-64|AY750907|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Tmt|tetQ_2_X58717|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETQ
Bla|IMP-4|DQ307573|3-743|741|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
Bla|SHV-11_12_GU211012|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Sul|AP010904.1|gene2604|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
ENA|merT|AAC38218|AAC38218.1PseudomonasstutzeriMerT:Location:1..351,Mercury resistance,mercuric resistance protein,merT
CARD|phgb|BA000032|476707-477559|ARO:3003151|CARB-22|betalactams|Class_A_betalactamases|CARB,betalactams,Class A betalactamases,CARB
Bla|LEN-13|AJ635403|1-789|789|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Phe|fexA_1_AJ549214|Phenicol|Phenicol_efflux_pumps|FEXA,Phenicol,Phenicol efflux pumps,FEXA
Flq|QnrB34|JN173056|36-683|648|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
CARD|phgb|NC_003197|393892-397060|ARO:3000790|mdsB|Multi-drug_resistance|Multi-drug_efflux_pumps|MDSB,Multi-drug resistance,Multi-drug efflux pumps,MDSB
671|AY587956.1|AY587956|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
1416|DQ018710.1|DQ018710|Glycopeptides|VanA-type_regulator|VANRA,Glycopeptides,VanA-type regulator,VANRA
Bla|CTX-M-37_2_FN813246|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
ENA|merD|AAC38235|AAC38235.1Pseudomonasstutzerimercuryoperoncoregulatorprotein:Location:1..366,Mercury resistance,mercuric resistance regulator,merD
Bla|ROB-1_1_DQ840517|betalactams|Class_A_betalactamases|ROB,betalactams,Class A betalactamases,ROB
ENA|arsB|AAA21095|AAA21095.1PlasmidR773ArsB,Metal resistance,metal efflux pump,arsB
CARD|phgb|AB372881|8-869|ARO:3001160|SHV-111|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|FQ312006.1|gene1417|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
gi|591389163|gb|KJ135342.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Met|nimE_1_AM042593|Metronidazole|nim_nitroimidazole_reductase|NIME,Metronidazole,nim nitroimidazole reductase,NIME
Bla|OXA-216|FR865168|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Sul|CP001581.1|gene938|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
AGly|AB114632.1|gene2|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|OXA-115|EU029998|576-1400|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|728797465|emb|LN515535.1|betalactams|Class_C_betalactamases|MIR,betalactams,Class C betalactamases,MIR
ENA|merR2|AAD25959|AAD25959.1Bacillussp.RC607mercuryresistanceoperonnegativeregulatorMerR2:Location:1..390,Mercury resistance,mercuric resistance regulator,merR2
CARD|phgb|U35369|6004-6613|ARO:3002950|vanXB|Glycopeptides|VanB-type_resistance_protein|VANXB,Glycopeptides,VanB-type resistance protein,VANXB
Bla|TEM-191|JF949916|1-757|757|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CMY-2|AM779746|1-1149|1149|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|mecA_6_FR821779|betalactams|Penicillin_binding_protein|PBP2,betalactams,Penicillin binding protein,PBP2
Flq|QnrB13|EU273756|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
562|AF064820.3|AF064820|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Mdr|NC_002516.2.877855|Multi-drug_resistance|Multi-drug_efflux_pumps|MEXA,Multi-drug resistance,Multi-drug efflux pumps,MEXA
CARD|phgb|S82452|120-978|ARO:3001068|SHV-9|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Fos|fosA_10_EU195449|Fosfomycin|Fosfomycin_thiol_transferases|FOSA,Fosfomycin,Fosfomycin thiol transferases,FOSA
CARD|phgb|AL513383|161910-162771|ARO:3000873|TEM-1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Gly|VanS-Pt2|DQ018710|3721-4881|1161|Glycopeptides|VanA-type_regulator|VANSA,Glycopeptides,VanA-type regulator,VANSA
Tet|tetO_3_Y07780|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETO
Bla|CTX-M-123|JN790864|239-1114|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|KF885217.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|cfiA13|FM200787|3-752|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
AGly|AB104852.1|gene4|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Sul|CR628337.1|gene2815|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Gly|VanS-C_3_EU151752|Glycopeptides|VanC-type_regulator|VANSC,Glycopeptides,VanC-type regulator,VANSC
Bla|X96858.1|gene1|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
825|S52438.1|S52438|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,Tetracyclines,Tetracycline transcriptional repressor,TETR
1452|M22614.1|R26CML|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
gi|614461914|gb|KJ020573.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|GOB-10|AY647247|1-873|873|betalactams|Class_B_betalactamases|GOB,betalactams,Class B betalactamases,GOB
